ElementId,Category,Family,Type,Original Category,Original Family,Original Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Room Id,Room Number,Room Name,Room Level,Room Area (SF),Room Volume (CF),Room Location X (ft),Room Location Y (ft),Room Location Z (ft),Comments,Parameter Snapshot
1249530,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,85.548,135.677,15,85.548,140.666,15,85.548,130.687,15,,85.215,130.687,15,85.882,140.666,26.5,85.548,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249558,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,95.215,135.677,15,95.215,140.666,15,95.215,130.687,15,,94.882,130.687,15,95.548,140.666,26.5,95.215,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249706,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,104.882,135.677,15,104.882,140.666,15,104.882,130.687,15,,104.548,130.687,15,105.215,140.666,26.5,104.882,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249741,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,111 SF,73.95 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,114.548,135.677,15,114.548,140.666,15,114.548,130.687,15,,114.215,130.687,15,114.882,140.666,26.5,114.548,135.677,20.75,,,,,,,,,,,"Area=111 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=73.95 CF | Width=0' - 8"""
1249833,Walls,,"Generic - 8"" - EXTERIOR",,,,L 1,,B2010,Exterior Walls,"10' - 6 1/4""","0' - 8 1/4""",,,62 SF,42.60 CF,,,"Default Wall; Concrete, Cast-in-Place gray; Bamboo",,,,"0' - 0""","-0' - 6""",Curve,-1.118,203.593,15,-1.118,198.333,15,-1.118,208.854,15,,-1.462,198.333,15,-0.775,209.187,26.5,-1.118,203.76,20.75,,,,,,,,,,,"Area=62 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - EXTERIOR | Length=10' - 6 1/4"" | Related to Mass=False | Thermal Mass=0.4694 BTU/(ft²·°F) | Top Offset=-0' - 6"" | Type=Generic - 8"" - EXTERIOR | Type Id=Generic - 8"" - EXTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijB | Type Mark=G06 | Type Name=Generic - 8"" - EXTERIOR | Unconnected Height=11' - 6"" | Volume=42.60 CF | Width=0' - 8 1/4"""
1249986,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,109 SF,72.99 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,56.882,203.76,15,56.882,208.854,15,56.882,198.666,15,,56.548,198.666,15,57.215,208.854,26.5,56.882,203.76,20.75,,,,,,,,,,,"Area=109 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=72.99 CF | Width=0' - 8"""
1250022,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,109 SF,72.99 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,47.215,203.76,15,47.215,208.854,15,47.215,198.666,15,,46.882,198.666,15,47.548,208.854,26.5,47.215,203.76,20.75,,,,,,,,,,,"Area=109 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=72.99 CF | Width=0' - 8"""
1250048,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,95 SF,63.47 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-2' - 0""",Curve,37.548,203.76,15,37.548,208.854,15,37.548,198.666,15,,37.215,198.666,15,37.882,208.854,25,37.548,203.76,20,,,,,,,,,,,"Area=95 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=-2' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=10' - 0"" | Volume=63.47 CF | Width=0' - 8"""
1250076,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,109 SF,72.99 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,27.882,203.76,15,27.882,208.854,15,27.882,198.666,15,,27.548,198.666,15,28.215,208.854,26.5,27.882,203.76,20.75,,,,,,,,,,,"Area=109 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=72.99 CF | Width=0' - 8"""
1250100,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,109 SF,72.99 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,18.215,203.76,15,18.215,208.854,15,18.215,198.666,15,,17.882,198.666,15,18.548,208.854,26.5,18.215,203.76,20.75,,,,,,,,,,,"Area=109 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=72.99 CF | Width=0' - 8"""
1250193,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,95 SF,63.47 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-2' - 0""",Curve,8.548,203.76,15,8.548,208.854,15,8.548,198.666,15,,8.215,198.666,15,8.882,208.854,25,8.548,203.76,20,,,,,,,,,,,"Area=95 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=-2' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=10' - 0"" | Volume=63.47 CF | Width=0' - 8"""
1250299,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,119 SF,79.06 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,124.548,135.677,15,124.548,140.666,15,124.548,130.687,15,,124.215,130.687,15,124.882,140.999,26.5,124.548,135.843,20.75,,,,,,,,,,,"Area=119 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=79.06 CF | Width=0' - 8"""
1286603,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"17' - 11 9/32""","0' - 8""",,,206 SF,137.46 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,7.851,189.999,15,-1.118,189.999,15,16.821,189.999,15,,-1.118,189.666,15,17.154,190.333,26.5,8.018,189.999,20.75,,,,,,,,,,,"Area=206 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=17' - 11 9/32"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=137.46 CF | Width=0' - 8"""
1286681,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"24' - 2""","0' - 8""",,,245 SF,163.61 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-0' - 6""",Curve,10.965,149.999,15,23.048,149.999,15,-1.118,149.999,15,,-1.118,149.666,15,23.382,150.333,26.5,11.132,149.999,20.75,,,,,,,,,,,"Area=245 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=24' - 2"" | Related to Mass=False | Top Offset=-0' - 6"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=11' - 6"" | Volume=163.61 CF | Width=0' - 8"""
1324711,Walls,,"Generic - 8"" - INTERIOR",,,,L 1,,C1010,Partitions,"12' - 0""","0' - 8""",,,117 SF,77.78 CF,,,Default Wall; Bamboo,,,,"0' - 0""","-2' - 0""",Curve,23.048,155.999,15,23.048,161.999,15,23.048,149.999,15,,22.715,149.999,15,23.382,161.999,25,23.048,155.999,20,,,,,,,,,,,"Area=117 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=12' - 0"" | Related to Mass=False | Top Offset=-2' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=10' - 0"" | Volume=77.78 CF | Width=0' - 8"""
1351458,Furniture,Haworth_Maari_Chair_StarBase_WithTablet,S75 - Five Star Base - No Arms,,,,L -1,,E2010,Fixed Furnishings,,"2' - 4 1/2""",,,18 SF,0.33 CF,,,Haworth _ Paint _ Undecided _ Table; Haworth _ Laminate _ Undecided _ Tables; Haworth _ Paint _ Black; Haworth _ Polymer _ Water TR-1W; Haworth _ Fabric _ Tellure _ Ocean 3A-34,,,,,,Point,119.629,150.166,-15,,,,,,,180,118.49,148.869,-15,120.947,151.142,-12.2,119.719,150.006,-13.6,1437284,117,Room Name 117,L -1,2061.427,20592.796,79.34,155.177,-15,,"Actual Depth=2' - 4 1/2"" | Actual Height=2' - 8"" | Actual Width=2' - 4 1/2"" | Area=18 SF | Arm Cap Finish=Haworth _ Polymer _ Water TR-1W | Assembly Code=E2010 | Assembly Description=Fixed Furnishings | Back Upholstery Finish=Haworth _ Fabric _ Tellure _ Ocean 3A-34 | Base Finish=Haworth _ Paint _ Black | Elevation from Level=0' - 0"" | Export Type to IFC=0 | Family and Type=S75 - Five Star Base - No Arms | Level=L -1 | Offset from Host=0' - 0"" | Seat Pan Finish=Haworth _ Paint _ Black | Seat Upholstery Finish=Haworth _ Fabric _ Tellure _ Ocean 3A-34 | Shell Finish=Haworth _ Polymer _ Water TR-1W | Size=Verify Final Dim. w/ Haworth | Tablet Arm Finish=Haworth _ Paint _ Undecided _ Table | Tablet Finish=Haworth _ Laminate _ Undecided _ Tables | Type=S75 - Five Star Base - No Arms | Type Id=S75 - Five Star Base - No Arms | Type IfcGUID=1vw5cImyv3qxi9jZKHSdZl | Type Name=S75 - Five Star Base - No Arms | Volume=0.33 CF"
1351523,Furniture,Haworth_Maari_Chair_StarBase_WithTablet,S75 - Five Star Base - No Arms,,,,L -1,,E2010,Fixed Furnishings,,"2' - 4 1/2""",,,18 SF,0.33 CF,,,Haworth _ Paint _ Undecided _ Table; Haworth _ Laminate _ Undecided _ Tables; Haworth _ Paint _ Black; Haworth _ Polymer _ Water TR-1W; Haworth _ Fabric _ Tellure _ Ocean 3A-34,,,,,,Point,117.129,150.166,-15,,,,,,,180,115.99,148.869,-15,118.447,151.142,-12.2,117.219,150.006,-13.6,1437284,117,Room Name 117,L -1,2061.427,20592.796,79.34,155.177,-15,,"Actual Depth=2' - 4 1/2"" | Actual Height=2' - 8"" | Actual Width=2' - 4 1/2"" | Area=18 SF | Arm Cap Finish=Haworth _ Polymer _ Water TR-1W | Assembly Code=E2010 | Assembly Description=Fixed Furnishings | Back Upholstery Finish=Haworth _ Fabric _ Tellure _ Ocean 3A-34 | Base Finish=Haworth _ Paint _ Black | Elevation from Level=0' - 0"" | Export Type to IFC=0 | Family and Type=S75 - Five Star Base - No Arms | Level=L -1 | Offset from Host=0' - 0"" | Seat Pan Finish=Haworth _ Paint _ Black | Seat Upholstery Finish=Haworth _ Fabric _ Tellure _ Ocean 3A-34 | Shell Finish=Haworth _ Polymer _ Water TR-1W | Size=Verify Final Dim. w/ Haworth | Tablet Arm Finish=Haworth _ Paint _ Undecided _ Table | Tablet Finish=Haworth _ Laminate _ Undecided _ Tables | Type=S75 - Five Star Base - No Arms | Type Id=S75 - Five Star Base - No Arms | Type IfcGUID=1vw5cImyv3qxi9jZKHSdZl | Type Name=S75 - Five Star Base - No Arms | Volume=0.33 CF"
