element_id,discipline,category,family,type,level,base_level,top_level,mark,system_name,system_type,service_type,classification,assembly_code,assembly_description,material,size,width,height,length,depth,area,volume,takt_id
1799545,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799548,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799550,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1799552,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1805573,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1805575,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1805577,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806120,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806124,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806126,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806129,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806131,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806133,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806135,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806137,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806139,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806141,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806143,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806145,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806147,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806149,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806151,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806153,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806155,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806157,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806159,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806161,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806163,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806165,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806167,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806169,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806171,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806173,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806175,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806180,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806182,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806184,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",66 SF,6.05 CF,
1806177,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064_double,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",45 SF,4.07 CF,
1806178,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064_double,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",45 SF,4.07 CF,
1806186,Architecture,Furniture,Furniture_Figueras-Seating_Minispace_5064_double,5064,,,,,,,,,,,Figueras - Plastic - Black; Figueras - Textile - Valencia1048; Figueras - Wood - AmericanOakOP04; Figueras - Metal - Silver,,"1' - 11 19/32""","2' - 8 11/16""","5' - 5 11/32""","1' - 7 9/32""",45 SF,4.07 CF,
1623759,Architecture,Generic Models,,,,,,,,,,,,,,,,,,,,,
1789890,Architecture,Landings,,"7"" Thickness",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,,,,
1794999,Architecture,Landings,,"7"" Thickness",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,,,,
1795057,Architecture,Landings,,"7"" Thickness",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,,,,
1511392,Architecture,Landings,,Non-Monolithic Landing,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1636766,Architecture,Landings,,Non-Monolithic Landing,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1637120,Architecture,Landings,,Non-Monolithic Landing,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1511317,Architecture,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1511390,Architecture,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1636760,Architecture,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1636764,Architecture,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1637114,Architecture,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1637118,Architecture,Runs,,"1/4"" Tread 1"" Nosing 1/4"" Riser",,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,,,
1789791,Architecture,Runs,,"3/4"" Nosing",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,"0' - 2 1/2""",,,
1789888,Architecture,Runs,,"3/4"" Nosing",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,"0' - 2 1/2""",,,
1794881,Architecture,Runs,,"3/4"" Nosing",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,"0' - 2 1/2""",,,
1794997,Architecture,Runs,,"3/4"" Nosing",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,"0' - 2 1/2""",,,
1795055,Architecture,Runs,,"3/4"" Nosing",,,,,,,,,,,"Concrete, Cast-in-Place gray",,,,,"0' - 2 1/2""",,,
1827075,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,204.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1827100,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,205.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1827103,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,206.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1827106,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,207.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1827109,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,208.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1827156,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,209.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1827159,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,210.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1827162,Architecture,Windows,Skylight-Wasco-SkyMax,"GSM5296 - 49.25"" x 92.5""",,,,211.0,,,,,,,Glass - Wasco - Clear; Aluminum - Wasco - Aged Copper; Wood - Wasco - Douglas Firs,,"4' - 1 1/4""","0' - 5 7/16""","7' - 8 1/2""",,77 SF,3.72 CF,
1678200,Architecture,Casework,Countertop_Wilsonart_Solid-Surface_Linear,Countertop_Wilsonart_Linear,L -1,,,,,,,,,,Wilsonart - Solid Surface - 1530TM Beige Tempest,,"2' - 0""","0' - 0""","14' - 2""",,29 SF,1.18 CF,L -1 Zone 1
1685746,Architecture,Casework,Countertop_Wilsonart_Solid-Surface_Linear,Countertop_Wilsonart_Linear,L -1,,,,,,,,,,Wilsonart - Solid Surface - 1530TM Beige Tempest,,"2' - 0""","0' - 0""","4' - 3 7/8""",,9 SF,0.36 CF,L -1 Zone 1
1702109,Architecture,Casework,Countertop_Wilsonart_Solid-Surface_Linear,Countertop_Wilsonart_Linear,L -1,,,,,,,,,,Wilsonart - Solid Surface - 1530TM Beige Tempest,,"1' - 3 7/8""","0' - 0""","22' - 7 1/2""",,31 SF,1.25 CF,L -1 Zone 1
1709017,Architecture,Casework,Countertop_Wilsonart_Solid-Surface_Linear,Countertop_Wilsonart_Linear,L -1,,,,,,,,,,Wilsonart - Solid Surface - 1530TM Beige Tempest,,"1' - 7""","0' - 0""","6' - 7 5/32""",,11 SF,0.43 CF,L -1 Zone 1
1951580,Architecture,Ceilings,,"5/8"" GWB on Wood Furring",L -1,,,,,,,,,,"Softwood, Lumber; Gypsum Wall Board; Furniture - Wood Laminate",,,"0' - 2 5/8""",,"0' - 2 5/8""",2038 SF,445.73 CF,L -1 Zone 5
1944467,Architecture,Curtain Panels,System Panel,Glazed,L -1,,,,,,,,,,Glass,,"4' - 0 29/32""","7' - 7""",,"0' - 1""",31 SF,2.58 CF,L -1 Zone 5
