ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot,source_schedule,System Name,System Type,Service Type,Classification,Size,Diameter,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in)
1249405,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,46.882,135.666,15,46.882,140.666,15,46.882,130.666,15,,46.548,130.666,15,47.215,140.666,27,46.882,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249438,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,56.548,135.666,15,56.548,140.666,15,56.548,130.666,15,,56.215,130.666,15,56.882,140.666,27,56.548,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249463,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,66.215,135.666,15,66.215,140.666,15,66.215,130.666,15,,65.882,130.666,15,66.548,140.666,27,66.215,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249493,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,75.882,135.666,15,75.882,140.666,15,75.882,130.666,15,,75.548,130.666,15,76.215,140.666,27,75.882,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249530,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,85.548,135.666,15,85.548,140.666,15,85.548,130.666,15,,85.215,130.666,15,85.882,140.666,27,85.548,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249558,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,95.215,135.666,15,95.215,140.666,15,95.215,130.666,15,,94.882,130.666,15,95.548,140.666,27,95.215,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249706,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,104.882,135.666,15,104.882,140.666,15,104.882,130.666,15,,104.548,130.666,15,105.215,140.666,27,104.882,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249741,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,114.548,135.666,15,114.548,140.666,15,114.548,130.666,15,,114.215,130.666,15,114.882,140.666,27,114.548,135.666,21,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249833,Walls,,"Generic - 8"" - EXTERIOR",L 1,,B2010,Exterior Walls,"10' - 4""","0' - 8""",,,124 SF,79.22 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,-1.452,203.833,15,-1.452,198.666,15,-1.452,208.999,15,,-1.785,198.666,15,-1.118,208.999,27,-1.452,203.833,21,,"Area=124 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - EXTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - EXTERIOR | Type Id=Generic - 8"" - EXTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijB | Type Mark=G06 | Type Name=Generic - 8"" - EXTERIOR | Unconnected Height=12' - 0"" | Volume=79.22 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249864,Walls,,Storefront - EXTERIOR ISLAND,L 1,,B2010,Exterior Walls,"68' - 4""",,,,812 SF,,,,,,,,"0' - 0""","0' - 0""",Curve,32.715,208.999,15,66.882,208.999,15,-1.452,208.999,15,,-1.452,208.499,15,66.882,209.499,27,32.715,208.999,21,,"Adjust for Mullion Size=False | Area=812 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Border 1 Type=2.5"" x 5"" rectangular | Border 2 Type=2.5"" x 5"" rectangular | Export Type to IFC=0 | Family and Type=Storefront - EXTERIOR ISLAND | Interior Type=2.5"" x 5"" rectangular | Length=68' - 4"" | Offset=0' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Storefront - EXTERIOR ISLAND | Type Id=Storefront - EXTERIOR ISLAND | Type IfcGUID=21niu4ukDA1u2Qnv1EMNlF | Type Mark=CW03 | Type Name=Storefront - EXTERIOR ISLAND | Unconnected Height=12' - 0""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249905,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,120 SF,76.67 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,66.882,203.833,15,66.882,198.666,15,66.882,208.999,15,,66.548,198.666,15,67.215,208.999,27,66.882,203.833,21,,"Area=120 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=76.67 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249986,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,56.882,203.833,15,56.882,208.999,15,56.882,198.666,15,,56.548,198.666,15,57.215,208.999,30,56.882,203.833,22.5,,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1250022,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,47.215,203.833,15,47.215,208.999,15,47.215,198.666,15,,46.882,198.666,15,47.548,208.999,30,47.215,203.833,22.5,,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1250048,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,37.548,203.833,15,37.548,208.999,15,37.548,198.666,15,,37.215,198.666,15,37.882,208.999,30,37.548,203.833,22.5,,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Mar\04_Island_ARCH_Concept2_V11_2026-03-06_10-51-12am_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
